Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  7.6325     667.34983786],[ 0.50738915 44.77465293],[  7.         539.85142551],[  9.         795.27205523],"[11, 23, 8, 2, 21, 16, 18, 19, 13, 25, 22, 15, 12, 24, 5, 7, 10, 6, 9, 1, 4, 3, 20, 17, 14]","(7.0, 539.8514255093959)"
1,342,[  7.3975     623.16982495],[ 0.48938099 25.9983688 ],[  7.         539.85142551],[  8.         659.38739722],"[11, 23, 8, 2, 21, 16, 18, 19, 13, 25, 22, 15, 12, 24, 5, 7, 10, 6, 9, 1, 4, 3, 20, 17, 14]","(7.0, 539.8514255093959)"
2,354,[  7.325      597.13703483],[ 0.46837485 21.04109726],[  7.         539.85142551],[  8.         624.70634525],"[11, 23, 8, 2, 21, 16, 18, 19, 13, 25, 22, 15, 12, 24, 5, 7, 10, 6, 9, 1, 4, 3, 20, 17, 14]","(7.0, 539.8514255093959)"
3,358,[  7.17       577.18921031],[ 0.3756328  16.80915428],[  7.        533.1101796],[  8.         601.06904984],"[11, 23, 8, 2, 19, 16, 18, 21, 13, 25, 22, 15, 12, 24, 5, 7, 10, 6, 9, 1, 4, 3, 20, 17, 14]","(7.0, 533.1101796043968)"
4,338,[  7.1775     560.51834906],[ 0.38209128 13.5672822 ],[  7.        533.1101796],[  8.         577.24812822],"[11, 23, 8, 2, 19, 16, 18, 21, 13, 25, 22, 15, 12, 24, 5, 7, 10, 6, 9, 1, 4, 3, 20, 17, 14]","(7.0, 533.1101796043968)"
5,334,[  7.045     546.6661436],[0.20730412 9.69144185],[  7.         486.42060592],[  8.         563.50132218],"[20, 24, 12, 6, 3, 21, 23, 25, 11, 15, 1, 18, 19, 16, 5, 7, 2, 4, 9, 17, 14, 13, 10, 8, 22]","(7.0, 486.4206059241234)"
6,348,[  7.0025     538.65377209],[0.04993746 4.69575445],[  7.         486.42060592],[  8.         541.28534496],"[20, 24, 12, 6, 3, 21, 23, 25, 11, 15, 1, 18, 19, 16, 5, 7, 2, 4, 9, 17, 14, 13, 10, 8, 22]","(7.0, 486.4206059241234)"
7,342,[  7.01       535.76347761],[0.09949874 7.1763968 ],[  7.         486.42060592],[  8.         539.85142551],"[20, 24, 12, 6, 3, 21, 23, 25, 11, 15, 1, 18, 19, 16, 5, 7, 2, 4, 9, 17, 14, 13, 10, 8, 22]","(7.0, 486.4206059241234)"
8,342,[  7.015      530.13129582],[0.12155246 9.06116307],[  7.         486.42060592],[  8.         538.13691167],"[20, 24, 12, 6, 3, 21, 23, 25, 11, 15, 1, 18, 19, 16, 5, 7, 2, 4, 9, 17, 14, 13, 10, 8, 22]","(7.0, 486.4206059241234)"
9,334,[  7.0325    523.2716186],[ 0.17732386 10.70744183],[  7.         479.99864862],[  8.        533.1101796],"[20, 24, 17, 18, 3, 21, 23, 25, 11, 15, 1, 7, 19, 16, 5, 6, 2, 4, 9, 12, 14, 13, 10, 8, 22]","(7.0, 479.99864861925084)"
